method,test_size,n_clusters,weighted_auc,segments
logit,0.05,1,0.7143428993718438,"[(1, 0.7143428993718438)]"
logit,0.05,2,0.7594120786632179,"[(1.0, 0.8688346883468835), (2.0, 0.6559363678007746)]"
logit,0.05,3,0.810352260130558,"[(1.0, 0.8688346883468835), (2.0, 0.7770334928229666), (3.0, 0.728357438016529)]"
logit,0.05,4,0.8018536765611529,"[(1.0, 0.8493761140819964), (2.0, 0.8430493273542601), (3.0, 0.7770334928229666), (4.0, 0.728357438016529)]"
logit,0.05,5,0.8018639405509709,"[(1.0, 0.8493761140819964), (2.0, 0.8430493273542601), (3.0, 0.7770334928229666), (4.0, 0.6827565982404692), (5.0, 0.8440559440559441)]"
logit,0.05,6,0.8042913741429568,"[(1.0, 0.8493761140819964), (2.0, 0.8430493273542601), (3.0, 0.7770334928229666), (4.0, 0.6827565982404692), (5.0, 0.7866666666666666), (6.0, 0.9092592592592592)]"
rf,0.05,1,0.8065186599334894,"[(1, 0.8065186599334894)]"
rf,0.05,2,0.8184197561276019,"[(1.0, 0.8780487804878049), (2.0, 0.7602548619497772)]"
rf,0.05,3,0.8159563985712526,"[(1.0, 0.8780487804878049), (2.0, 0.7927432216905902), (3.0, 0.7361311983471074)]"
rf,0.05,4,0.808910169561112,"[(1.0, 0.895053475935829), (2.0, 0.8871449925261585), (3.0, 0.7927432216905902), (4.0, 0.7361311983471074)]"
rf,0.05,5,0.8043119021225931,"[(1.0, 0.895053475935829), (2.0, 0.8871449925261585), (3.0, 0.7927432216905902), (4.0, 0.6726686217008797), (5.0, 0.8275058275058275)]"
rf,0.05,6,0.8102444882374675,"[(1.0, 0.895053475935829), (2.0, 0.8871449925261585), (3.0, 0.7927432216905902), (4.0, 0.6726686217008797), (5.0, 0.7504761904761905), (6.0, 0.937037037037037)]"
gb,0.05,1,0.8192408753130517,"[(1, 0.8192408753130517)]"
gb,0.05,2,0.8221045284723076,"[(1.0, 0.881029810298103), (2.0, 0.7683338191812767)]"
gb,0.05,3,0.8095465369298354,"[(1.0, 0.881029810298103), (2.0, 0.7885964912280702), (3.0, 0.7149276859504132)]"
gb,0.05,4,0.7978558525269943,"[(1.0, 0.8311051693404635), (2.0, 0.804185351270553), (3.0, 0.7885964912280702), (4.0, 0.7149276859504132)]"
